,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building
434,72000000.0,1886.0,19.0815087,72.8376755,3,3,0,Ready to Move,Resale,0,Semi-Furnished,0,Flat
435,43000000.0,2250.0,19.1322925,72.8604097,4,4,6,Ready to Move,Resale,6,Furnished,6,Flat
436,145000000.0,3780.0,19.120471,72.82818,4,6,1,Ready to Move,Resale,1,0,1,Flat
437,23500000.0,700.0,19.100385,72.850466,2,2,1,Ready to Move,Resale,1,0,1,Flat
438,19000000.0,1155.0,19.1077728874082,72.89723402507059,2,2,1,Ready to Move,Resale,1,0,1,Flat
439,24500000.0,1350.0,19.1227979,72.82485940000001,3,2,0,0,Resale,0,Semi-Furnished,0,Flat
440,32500000.0,1250.0,19.13855469,72.82562324,3,3,2,Ready to Move,Resale,2,0,2,Flat
441,32500000.0,1850.0,19.2335321,72.839198,4,4,6,0,New Property,6,Unfurnished,6,Flat
442,27200000.000000004,820.0,18.995921,72.82231800000001,2,2,3,0,New Property,3,Unfurnished,3,Flat
443,25000000.0,1500.0,19.1913396666603,72.862262257539,3,3,0,Ready to Move,Resale,0,0,0,Flat
444,29000000.0,1100.0,19.1523371746602,72.83092418126779,2,2,2,Ready to Move,Resale,2,0,2,Flat
445,46000000.0,2815.0,19.152852,72.840615,4,4,2,Ready to Move,Resale,2,0,2,Flat
446,31000000.0,1440.0,19.15008523,72.84706892,3,3,4,Ready to Move,New Property,4,0,4,Flat
447,32000000.0,1400.0,19.07907,72.907976,3,3,0,Ready to Move,Resale,0,Furnished,0,Flat
448,41000000.0,1600.0,19.142096,72.826173,3,3,0,Ready to Move,Resale,0,0,0,Flat
449,18100000.0,900.0,19.1154908,72.87269520000001,2,2,3,Ready to Move,New Property,3,Unfurnished,3,Flat
450,87500000.0,1740.0,19.05522918701172,72.83082580566406,3,4,3,Ready to Move,New Property,3,Semi-Furnished,3,Flat
451,22500000.0,1150.0,19.11721627,72.89304604,2,2,2,Ready to Move,Resale,2,0,2,Flat
452,35000000.0,1200.0,19.07072639465332,72.83612823486328,3,3,0,Ready to Move,New Property,0,Unfurnished,0,Flat
453,23500000.0,844.0,19.21458019,72.87133267,2,2,1,Ready to Move,New Property,1,0,1,Flat
454,30000000.0,1800.0,19.183819,72.86111600000001,3,3,4,Ready to Move,Resale,4,0,4,Flat
455,12500000.0,1031.0,19.16885566711425,72.87786102294922,2,2,0,Ready to Move,Resale,0,Semi-Furnished,0,Flat
456,79500000.0,2200.0,19.105440139770508,72.84111785888672,4,4,0,Ready to Move,New Property,0,Unfurnished,0,Flat
457,27000000.0,1250.0,19.079998016357425,72.85449981689453,3,3,2,Ready to Move,New Property,2,Furnished,2,Flat
458,125000000.0,2900.0,19.010207,72.830895,4,4,0,0,New Property,0,Unfurnished,0,Flat
459,10200000.0,850.0,19.180237,72.85541490000001,2,2,0,Ready to Move,Resale,0,0,0,Flat
460,30000000.0,900.0,19.13894569,72.82940015,2,2,1,Ready to Move,Resale,1,0,1,Flat
461,30000000.0,1034.0,19.2248756,72.86314300000001,3,3,0,0,Resale,0,Unfurnished,0,Flat
462,18000000.0,1100.0,19.175361,72.839107,2,2,0,Ready to Move,Resale,0,0,0,Flat
463,60000000.0,1500.0,19.07072639465332,72.83612823486328,3,4,0,Ready to Move,New Property,0,Unfurnished,0,Flat
464,16800000.0,850.0,19.198230743408203,72.85767364501953,2,2,2,Ready to Move,Resale,2,Furnished,2,Flat
465,69000000.0,3195.0,19.1547839,72.8540607,5,5,4,Ready to Move,Resale,4,0,4,Flat
466,195000000.0,1950.0,19.0561705980988,72.8267588254753,3,4,1,Ready to Move,Resale,1,0,1,Flat
467,22500000.0,1566.0,19.17100978,72.87098943,2,2,1,Ready to Move,Resale,1,0,1,Flat
468,70000000.0,2060.0,19.11559447,72.90996700000001,3,3,2,Ready to Move,Resale,2,0,2,Flat
469,12900000.0,1220.0,19.26522136,72.8743219,3,2,4,Ready to Move,New Property,4,0,4,Flat
470,22600000.0,1500.0,19.114625,72.88469599999999,3,3,0,Ready to Move,New Property,0,0,0,Flat
471,14500000.0,920.0,19.177220805592,72.8705878488227,2,2,0,Ready to Move,Resale,0,0,0,Flat
472,55000000.0,3500.0,19.128219604492188,72.86425018310547,6,6,6,Ready to Move,Resale,6,Furnished,6,Flat
473,29500000.0,1450.0,19.129887,72.836147,3,3,0,Ready to Move,Resale,0,Unfurnished,0,Individual House
474,14500000.0,800.0,19.200165,72.868551,2,2,0,Ready to Move,Resale,0,0,0,Flat
475,44900000.0,1820.0,19.140335,72.86436198,3,3,2,Ready to Move,Resale,2,0,2,Flat
476,22500000.0,850.0,19.100385665893555,72.8504638671875,2,2,0,Ready to Move,Resale,0,Unfurnished,0,Flat
477,32500000.0,1495.0,19.0592961079791,72.85000344467392,2,2,3,Ready to Move,Resale,3,0,3,Flat
478,34000000.0,1650.0,19.1547839,72.8540607,3,4,2,Ready to Move,Resale,2,0,2,Flat
